                page6_oram2000,    1600,                    matmul,      26050878,    e1        100
                page6_oram2000,    1600,                 qsort_u32,        545850,    f6          1
                page6_oram2000,    1600,                 qsort_u64,        200660,    f6          1
                page6_oram2000,    1600,                 radixsort,        565804,    f6          1
                page6_oram4000,    2400,                      TEST,          TICK,  HASH        REP
                page6_oram4000,    2400,      random_load_test_u64,       3771276,    63        100
                page6_oram4000,    2400,     random_store_test_u64,       3093350,    14        100
                page6_oram4000,    2400,      linear_load_test_u64,       1568222,    9b        100
                page6_oram4000,    2400,     linear_store_test_u64,         21672,    a9        100
                page6_oram4000,    2400,             binsearch_u64,        422464,    a9        100
                page6_oram4000,    2400,                  dijkstra,      12346506,    bc        100
                page6_oram4000,    2400,                      hist,     179250342,    87        100
                page6_oram4000,    2400,                    matmul,     265038920,     a        100
                page6_oram4000,    2400,                 qsort_u32,       5604852,    58          1
                page6_oram4000,    2400,                 qsort_u64,       6814684,    d8          1
                page6_oram4000,    2400,                 radixsort,      36991306,    58          1
                page6_oram4000,    3200,                      TEST,          TICK,  HASH        REP
                page6_oram4000,    3200,      random_load_test_u64,       5347088,    3e        100
                page6_oram4000,    3200,     random_store_test_u64,       5908972,    1e        100
                page6_oram4000,    3200,      linear_load_test_u64,       1371018,     5        100
                page6_oram4000,    3200,     linear_store_test_u64,         14832,    73        100
                page6_oram4000,    3200,             binsearch_u64,        366706,    73        100
                page6_oram4000,    3200,                  dijkstra,      19307578,    86        100
                page6_oram4000,    3200,                      hist,     537347446,    67        100
                page6_oram4000,    3200,                    matmul,     710199676,    d7        100
                page6_oram4000,    3200,                 qsort_u32,       9033602,    9f          1
                page6_oram4000,    3200,                 qsort_u64,       7905072,    9f          1
                page6_oram4000,    3200,                 radixsort,      60680106,    1f          1
                page6_oram8000,    4800,                      TEST,          TICK,  HASH        REP
                page6_oram8000,    4800,      random_load_test_u64,       6529696,    4b        100
                page6_oram8000,    4800,     random_store_test_u64,       4763378,    b1        100
                page6_oram8000,    4800,      linear_load_test_u64,       1128862,    de        100
                page6_oram8000,    4800,     linear_store_test_u64,         14952,    bc        100
                page6_oram8000,    4800,             binsearch_u64,        368284,    bc        100
                page6_oram8000,    4800,                  dijkstra,      32109280,    65        100
                page6_oram8000,    4800,                      hist,    1573443926,    d3        100
                page6_oram8000,    4800,                    matmul,    5828945992,     2        100
                page6_oram8000,    4800,                 qsort_u32,      16104298,    9f          1
                page6_oram8000,    4800,                 qsort_u64,      17790160,    1f          1
                page6_oram8000,    4800,                 radixsort,      91333626,    1f          1
                page6_oram8000,    6400,                      TEST,          TICK,  HASH        REP
                page6_oram8000,    6400,      random_load_test_u64,       6905838,    a5        100
                page6_oram8000,    6400,     random_store_test_u64,       5974468,     3        100
