   6,     rasm_perm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   6,     rasm_perm_indjmp,       base,     500,      random_load_test_u64,      36355018,   8222c97a
   6,     rasm_perm_indjmp,       base,     500,      linear_load_test_u64,      33517700,    dcee904
   6,     rasm_perm_indjmp,       base,     500,     random_store_test_u64,      78056086,   74483ee5
   6,     rasm_perm_indjmp,       base,     500,     linear_store_test_u64,      36284868,   68cc5a06
   6,     rasm_perm_indjmp,       base,     500,    random_load_test_u64x8,     212556552,         a3
   6,     rasm_perm_indjmp,       base,     500,      random_swap_test_u64,     147745762,   cb709f06
   6,     rasm_perm_indjmp,       base,     500,       random_swap_test_u8,     206699256,   2f427c26
   6,     rasm_perm_indjmp,       base,     500,       linear_swap_test_u8,     145836726,   9df829d0
   6,     rasm_perm_indjmp,       base,     500,                 qsort_u32,       5094842,   3999e051
   6,     rasm_perm_indjmp,       base,     500,                 radixsort,       4768880,   c6d2ce51
   7,          rasm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   7,          rasm_indjmp,       base,     500,      random_load_test_u64,      73660812,   8222c97a
   7,          rasm_indjmp,       base,     500,      linear_load_test_u64,      34939480,    dcee904
   7,          rasm_indjmp,       base,     500,     random_store_test_u64,      77994378,   74483ee5
   7,          rasm_indjmp,       base,     500,     linear_store_test_u64,      36249876,   68cc5a06
   7,          rasm_indjmp,       base,     500,    random_load_test_u64x8,     219770140,         a3
   7,          rasm_indjmp,       base,     500,      random_swap_test_u64,     209278950,   cb709f06
   7,          rasm_indjmp,       base,     500,       random_swap_test_u8,     244103092,   2f427c26
   7,          rasm_indjmp,       base,     500,       linear_swap_test_u8,     123035122,   9df829d0
   7,          rasm_indjmp,       base,     500,                 qsort_u32,       4435326,   3999e051
   7,          rasm_indjmp,       base,     500,                 radixsort,       3983510,   c6d2ce51
   7,            rasm_cmov,       base,     500,                      TEST,          TICK,       HASH
   7,            rasm_cmov,       base,     500,      random_load_test_u64,      82629396,   8222c97a
   7,            rasm_cmov,       base,     500,      linear_load_test_u64,      81856838,    dcee904
   7,            rasm_cmov,       base,     500,     random_store_test_u64,      83288016,   74483ee5
   7,            rasm_cmov,       base,     500,     linear_store_test_u64,      82372780,   68cc5a06
   7,            rasm_cmov,       base,     500,    random_load_test_u64x8,     483983366,         a3
   7,            rasm_cmov,       base,     500,      random_swap_test_u64,     231058154,   cb709f06
   7,            rasm_cmov,       base,     500,       random_swap_test_u8,     355772180,   2f427c26
   7,            rasm_cmov,       base,     500,       linear_swap_test_u8,     362885814,   9df829d0
   7,            rasm_cmov,       base,     500,                 qsort_u32,       9549710,   3999e051
   7,            rasm_cmov,       base,     500,                 radixsort,       9797668,   c6d2ce51
   7,       rasm_perm_cmov,       base,     500,                      TEST,          TICK,       HASH
   7,       rasm_perm_cmov,       base,     500,      random_load_test_u64,      35990776,   8222c97a
   7,       rasm_perm_cmov,       base,     500,      linear_load_test_u64,      33691046,    dcee904
   7,       rasm_perm_cmov,       base,     500,     random_store_test_u64,      83348732,   74483ee5
   7,       rasm_perm_cmov,       base,     500,     linear_store_test_u64,      82337198,   68cc5a06
   7,       rasm_perm_cmov,       base,     500,    random_load_test_u64x8,     212585776,         a3
   7,       rasm_perm_cmov,       base,     500,      random_swap_test_u64,     156553868,   cb709f06
   7,       rasm_perm_cmov,       base,     500,       random_swap_test_u8,     211109792,   2f427c26
   7,       rasm_perm_cmov,       base,     500,       linear_swap_test_u8,     245014942,   9df829d0
   7,       rasm_perm_cmov,       base,     500,                 qsort_u32,       6097762,   3999e051
   7,       rasm_perm_cmov,       base,     500,                 radixsort,       6017940,   c6d2ce51
   7,     rasm_perm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   7,     rasm_perm_indjmp,       base,     500,      random_load_test_u64,      35539384,   8222c97a
   7,     rasm_perm_indjmp,       base,     500,      linear_load_test_u64,      33762254,    dcee904
   7,     rasm_perm_indjmp,       base,     500,     random_store_test_u64,      77978440,   74483ee5
   7,     rasm_perm_indjmp,       base,     500,     linear_store_test_u64,      36467724,   68cc5a06
   7,     rasm_perm_indjmp,       base,     500,    random_load_test_u64x8,     212538488,         a3
   7,     rasm_perm_indjmp,       base,     500,      random_swap_test_u64,     148983208,   cb709f06
   7,     rasm_perm_indjmp,       base,     500,       random_swap_test_u8,     206368236,   2f427c26
   7,     rasm_perm_indjmp,       base,     500,       linear_swap_test_u8,     145622284,   9df829d0
   7,     rasm_perm_indjmp,       base,     500,                 qsort_u32,       5514650,   3999e051
   7,     rasm_perm_indjmp,       base,     500,                 radixsort,       4765528,   c6d2ce51
   8,          rasm_indjmp,       base,     500,                      TEST,          TICK,       HASH
   8,          rasm_indjmp,       base,     500,      random_load_test_u64,      74155732,   8222c97a
   8,          rasm_indjmp,       base,     500,      linear_load_test_u64,      34168268,    dcee904
   8,          rasm_indjmp,       base,     500,     random_store_test_u64,      78018514,   74483ee5
   8,          rasm_indjmp,       base,     500,     linear_store_test_u64,      36593900,   68cc5a06
   8,          rasm_indjmp,       base,     500,    random_load_test_u64x8,     217760914,         a3
   8,          rasm_indjmp,       base,     500,      random_swap_test_u64,     209033474,   cb709f06
   8,          rasm_indjmp,       base,     500,       random_swap_test_u8,     243160440,   2f427c26
