                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                           aes,   57344,        all, RESULT,                 qsort_u32,    6621749606,    e2,        100
                           aes,   57344,        all, RESULT,                 qsort_u64,    2407384410,    62,        100
                           aes,   57344,        all, RESULT,                 radixsort,    3728125982,    62,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,             binsearch_u64,         32200,    41,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                  dijkstra,       2322322,    ba,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                      hist,       1370512,    18,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                    matmul,       4151466,    83,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                 qsort_u32,      12164906,    b9,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                 qsort_u64,       3950632,    b9,        100
         page6_rasm_indjmp_aes,     512,        all, RESULT,                 radixsort,      14754392,    b9,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,             binsearch_u64,         31752,    43,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                  dijkstra,       2516520,    e1,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                      hist,       1580682,    fa,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                    matmul,       6000166,    1b,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                 qsort_u32,      16038464,    2d,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                 qsort_u64,       5276118,    ad,        100
         page6_rasm_indjmp_aes,     640,        all, RESULT,                 radixsort,      18510404,    ad,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,             binsearch_u64,         38908,    36,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                  dijkstra,       3070260,    a7,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                      hist,       1907900,    30,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                    matmul,       5989954,    81,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                 qsort_u32,      19876518,    b8,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                 qsort_u64,       6586582,    38,        100
         page6_rasm_indjmp_aes,     768,        all, RESULT,                 radixsort,      22187752,    38,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,             binsearch_u64,         39560,    43,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                  dijkstra,       3800780,    5e,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                      hist,       2243558,    a9,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                    matmul,       8462954,    71,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                 qsort_u32,      24177822,    45,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                 qsort_u64,       8093628,    c5,        100
         page6_rasm_indjmp_aes,     896,        all, RESULT,                 radixsort,      25927542,    45,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,             binsearch_u64,         36722,    39,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                  dijkstra,       4211846,    a8,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                      hist,       2587436,    90,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                    matmul,      11488012,    45,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                 qsort_u32,      28388272,    12,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                 qsort_u64,       9422246,    12,        100
         page6_rasm_indjmp_aes,    1024,        all, RESULT,                 radixsort,      29642438,    92,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,             binsearch_u64,         41546,    8d,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                  dijkstra,       5262748,    56,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                      hist,       3233800,    d5,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                    matmul,      15215366,    84,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                 qsort_u32,      36626796,    ed,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                 qsort_u64,      12471852,    6d,        100
         page6_rasm_indjmp_aes,    1280,        all, RESULT,                 radixsort,      37081152,    6d,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,             binsearch_u64,         37818,    1e,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                  dijkstra,       6383434,    bd,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                      hist,       5724058,    86,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                    matmul,      21371024,    90,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                 qsort_u32,      52903130,    25,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                 qsort_u64,      22661800,    25,        100
         page6_rasm_indjmp_aes,    1536,        all, RESULT,                 radixsort,     115232932,    25,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,             binsearch_u64,         75492,    57,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                  dijkstra,       7919060,    f5,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                      hist,       8496054,    a5,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                    matmul,      28875682,    8d,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                 qsort_u32,      64714436,    9a,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                 qsort_u64,      28900808,    9a,        100
         page6_rasm_indjmp_aes,    1792,        all, RESULT,                 radixsort,     134403646,    1a,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,             binsearch_u64,        160922,    f2,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                  dijkstra,       9171216,    e3,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                      hist,       9739892,    e9,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                    matmul,      36513914,    6b,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                 qsort_u32,      77640818,    ea,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                 qsort_u64,      35201796,    6a,        100
         page6_rasm_indjmp_aes,    2048,        all, RESULT,                 radixsort,     153755370,    ea,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,             binsearch_u64,        215772,    2d,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                  dijkstra,      11387644,    4a,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                      hist,      12202186,    7c,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                    matmul,      46546460,    f1,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                 qsort_u32,     103711204,    a5,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                 qsort_u64,      46981146,    a5,        100
         page6_rasm_indjmp_aes,    2560,        all, RESULT,                 radixsort,     192923112,    25,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,             binsearch_u64,        255936,    ba,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                  dijkstra,      16053246,    c2,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                      hist,      25511356,    23,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                    matmul,      64529202,    7e,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                 qsort_u32,     128171782,    82,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                 qsort_u64,      59182764,    82,        100
         page6_rasm_indjmp_aes,    3072,        all, RESULT,                 radixsort,     263484724,    82,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,             binsearch_u64,        289980,    42,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                  dijkstra,      15330492,    15,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                      hist,      34463114,    f4,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                    matmul,     430506730,    b4,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                 qsort_u32,     154868362,    52,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                 qsort_u64,      74290088,    52,        100
         page6_rasm_indjmp_aes,    3584,        all, RESULT,                 radixsort,     299438754,    d2,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,             binsearch_u64,        334892,    a0,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                  dijkstra,      17337452,    d0,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                      hist,      46146872,    98,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                    matmul,     547948358,    f3,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                 qsort_u32,     183606500,    33,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                 qsort_u64,      87278900,    b3,        100
         page6_rasm_indjmp_aes,    4096,        all, RESULT,                 radixsort,     339464654,    33,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,             binsearch_u64,        348072,    5c,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                  dijkstra,      22155692,    ba,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                      hist,      73655404,    9e,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                    matmul,    1654120554,    8a,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                 qsort_u32,     244609596,    53,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                 qsort_u64,     119493902,    53,        100
         page6_rasm_indjmp_aes,    5120,        all, RESULT,                 radixsort,     449371338,    d3,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,             binsearch_u64,        429372,    34,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                  dijkstra,      27478536,    53,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                      hist,     104423606,    ef,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                    matmul,    2231597182,     f,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                 qsort_u32,     310145472,    69,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                 qsort_u64,     158872968,    69,        100
         page6_rasm_indjmp_aes,    6144,        all, RESULT,                 radixsort,     577180728,    e9,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,             binsearch_u64,        592124,    c8,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                  dijkstra,      31571082,    3f,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                      hist,     128639814,    cd,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                    matmul,    2861465580,     3,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                 qsort_u32,     379684214,     3,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                 qsort_u64,     192731746,    83,        100
         page6_rasm_indjmp_aes,    7168,        all, RESULT,                 radixsort,     659955192,     3,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,             binsearch_u64,        539896,    e8,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                  dijkstra,      36078628,    f5,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                      hist,     153766420,    96,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                    matmul,    3591883446,    6a,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                 qsort_u32,     452089442,    57,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                 qsort_u64,     234980802,    57,        100
         page6_rasm_indjmp_aes,    8192,        all, RESULT,                 radixsort,     777813978,    d7,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,             binsearch_u64,        702910,    7c,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                  dijkstra,      44262644,    ae,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                      hist,     202004862,    d3,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                    matmul,    4935121900,    3c,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                 qsort_u32,     588039904,    e2,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                 qsort_u64,     319641082,    e2,        100
         page6_rasm_indjmp_aes,   10240,        all, RESULT,                 radixsort,     993945036,    e2,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,             binsearch_u64,        718920,    68,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                  dijkstra,      66001912,    ad,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                      hist,     260451460,    ac,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                    matmul,    6036169092,    4a,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                 qsort_u32,     732361902,    1c,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                 qsort_u64,     393648610,    9c,        100
         page6_rasm_indjmp_aes,   12288,        all, RESULT,                 radixsort,    1197270708,    1c,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,             binsearch_u64,        693296,    bb,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                  dijkstra,      62269930,    a2,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                      hist,     302480174,    46,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                    matmul,    7957556338,    c3,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                 qsort_u32,     886834706,    e7,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                 qsort_u64,     477571594,    67,        100
         page6_rasm_indjmp_aes,   14336,        all, RESULT,                 radixsort,    1419191126,    e7,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,             binsearch_u64,        785964,    70,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                  dijkstra,      70108918,    85,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                      hist,     353090202,    da,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                    matmul,    9499503478,    fb,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                 qsort_u32,    1003926126,    ef,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                 qsort_u64,     552335502,    6f,        100
         page6_rasm_indjmp_aes,   16384,        all, RESULT,                 radixsort,    1610802266,    6f,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,             binsearch_u64,        840668,    79,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                  dijkstra,      89970616,    b4,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                      hist,     497150364,    f6,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                    matmul,   13889832592,    d7,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                 qsort_u32,    1402608018,     6,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                 qsort_u64,     812158376,    86,        100
         page6_rasm_indjmp_aes,   20480,        all, RESULT,                 radixsort,    2159112252,    86,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,             binsearch_u64,        916190,    ad,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                  dijkstra,     211571116,    64,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                      hist,     642725628,    65,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                    matmul,   18329828814,    60,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                 qsort_u32,    1746516500,    d9,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                 qsort_u64,    1077076056,    d9,        100
         page6_rasm_indjmp_aes,   24576,        all, RESULT,                 radixsort,    2677052228,    59,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,             binsearch_u64,        988066,    9d,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                  dijkstra,     124208722,    36,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                      hist,     752343216,    e7,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                    matmul,   22543916982,    d5,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                 qsort_u32,    2087138268,    59,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                 qsort_u64,    1197909558,    59,        100
         page6_rasm_indjmp_aes,   28672,        all, RESULT,                 radixsort,    3082459824,    59,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,             binsearch_u64,       1013272,    c7,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                  dijkstra,     325872904,    19,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                      hist,     950157720,    55,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                    matmul,   28616101004,    da,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                 qsort_u32,    2684284026,    fd,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                 qsort_u64,    1668025004,    fd,        100
         page6_rasm_indjmp_aes,   32768,        all, RESULT,                 radixsort,    3862941146,    7d,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,             binsearch_u64,       1113312,    4f,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                  dijkstra,     580178504,    c5,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                      hist,    1547622728,    ab,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                    matmul,   40027651548,    4a,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                 qsort_u32,    3740720338,    80,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                 qsort_u64,    2450406982,    80,        100
         page6_rasm_indjmp_aes,   40960,        all, RESULT,                 radixsort,    5324565932,     0,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,             binsearch_u64,       1251348,    1f,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                  dijkstra,     752656378,    38,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                      hist,    1512259542,    25,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                    matmul,   51436764280,    43,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                 qsort_u32,    4047517372,    19,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                 qsort_u64,    2487112842,    19,        100
         page6_rasm_indjmp_aes,   49152,        all, RESULT,                 radixsort,    5757969262,    19,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,             binsearch_u64,       1325226,    42,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                  dijkstra,     765830394,    58,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                      hist,    2021864844,     7,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                    matmul,  129407807580,    45,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                 qsort_u32,   11992344570,    e2,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                 qsort_u64,    9700960492,    62,        100
         page6_rasm_indjmp_aes,   57344,        all, RESULT,                 radixsort,   13765809252,    62,        100
