                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                          base,    3584,        all, RESULT,                    matmul,      11503060,    b4,        100
                          base,    3584,        all, RESULT,                 qsort_u32,      21577868,    52,        100
                          base,    3584,        all, RESULT,                 qsort_u64,       9288926,    52,        100
                          base,    3584,        all, RESULT,                 radixsort,      20939044,    d2,        100
                          base,    4096,        all, RESULT,             binsearch_u64,         21740,    a0,        100
                          base,    4096,        all, RESULT,                  dijkstra,       3603128,    d0,        100
                          base,    4096,        all, RESULT,                      hist,       1765114,    98,        100
                          base,    4096,        all, RESULT,                    matmul,      10507060,    f3,        100
                          base,    4096,        all, RESULT,                 qsort_u32,      24148360,    33,        100
                          base,    4096,        all, RESULT,                 qsort_u64,      10792210,    b3,        100
                          base,    4096,        all, RESULT,                 radixsort,      24250268,    33,        100
                          base,    5120,        all, RESULT,             binsearch_u64,         49708,    5c,        100
                          base,    5120,        all, RESULT,                  dijkstra,       8018272,    ba,        100
                          base,    5120,        all, RESULT,                      hist,       2920208,    9e,        100
                          base,    5120,        all, RESULT,                    matmul,      17077990,    8a,        100
                          base,    5120,        all, RESULT,                 qsort_u32,      31565900,    53,        100
                          base,    5120,        all, RESULT,                 qsort_u64,      14048644,    53,        100
                          base,    5120,        all, RESULT,                 radixsort,      29861562,    d3,        100
                          base,    6144,        all, RESULT,             binsearch_u64,         39060,    34,        100
                          base,    6144,        all, RESULT,                  dijkstra,       9169604,    57,        100
                          base,    6144,        all, RESULT,                      hist,       2953902,    eb,        100
                          base,    6144,        all, RESULT,                    matmul,      18155640,     f,        100
                          base,    6144,        all, RESULT,                 qsort_u32,      38215558,    69,        100
                          base,    6144,        all, RESULT,                 qsort_u64,      17263232,    69,        100
                          base,    6144,        all, RESULT,                 radixsort,      35796516,    e9,        100
                          base,    7168,        all, RESULT,             binsearch_u64,         17488,    c8,        100
                          base,    7168,        all, RESULT,                  dijkstra,       6188414,    3f,        100
                          base,    7168,        all, RESULT,                      hist,       2645590,    cd,        100
                          base,    7168,        all, RESULT,                    matmul,      22120390,     3,        100
                          base,    7168,        all, RESULT,                 qsort_u32,      45555868,     3,        100
                          base,    7168,        all, RESULT,                 qsort_u64,      20454648,    83,        100
                          base,    7168,        all, RESULT,                 radixsort,      42221340,     3,        100
                          base,    8192,        all, RESULT,             binsearch_u64,         57988,    e8,        100
                          base,    8192,        all, RESULT,                  dijkstra,      12779504,    f5,        100
                          base,    8192,        all, RESULT,                      hist,       3582616,    96,        100
                          base,    8192,        all, RESULT,                    matmul,      28480820,    6a,        100
                          base,    8192,        all, RESULT,                 qsort_u32,      53020898,    57,        100
                          base,    8192,        all, RESULT,                 qsort_u64,      23895704,    57,        100
                          base,    8192,        all, RESULT,                 radixsort,      47762756,    d7,        100
                          base,   10240,        all, RESULT,             binsearch_u64,         35842,    7c,        100
                          base,   10240,        all, RESULT,                  dijkstra,      12315594,    4a,        100
                          base,   10240,        all, RESULT,                      hist,       3884992,    37,        100
